,SE-Area,SE-Prob,Task Id,Task Name,,Multi-class? def: Binary,Openness of labels set,Multi-label? def: Single-label,Soft (probability)? def: Hard,Granularity,Explained?,Type of question wrt Vuls,Mult/Openness VulSet,Few-Shot,ReAct,CoT,ToT,RAG,Infiller,FeedbackLoop,Self-Validation,LLM-Downstream Task Class,LLM-Task Category
268,5 - Program Verification,29 - Program Verification,Clover_1,\gen{VerifierAware-AnnotationCorresponding-Code-InFilling},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
269,5 - Program Verification,29 - Program Verification,Clover_2,\gen{VerifierAware-AnnotationCorresponding-Code-InFilling},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
270,5 - Program Verification,29 - Program Verification,Clover_3,\gen{IntentCorresponding-Code-InFilling},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
223,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,LLM4Vuln_3(patch),\tgen{patch},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
154,2 - Debugging,17 - Fault Localization,AutoSD_3,\gen{DebuggingAware-Code-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
141,1 - Testing,14 - Oracle Problem,ALGO,\gen{BruteForce-IntentCorresponding-Code-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
22,1 - Testing,02 - Failure-Inducing Test Generation,DiffPrompt_2,\gen{IntentCorresponding-Code-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
48,1 - Testing,05 - DataSet/Mutant Generation,FormAI,\gen{IntentCorresponding-Code-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
76,1 - Testing,10 - DL-Libraries Fuzzing,TitanFuzz_1,\gen{IntentCorresponding-Code-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
129,1 - Testing,14 - Oracle Problem,ClarifyGPT_1,\gen{IntentCorresponding-Code-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
64,1 - Testing,08 - Compiler/Simulator Fuzzing,SearchGEM5_1,\gen{ParameterizedVersion-Code-Generation},#NAME?,,,,,,,,,1,,,,,,,,01 - General-Code Generation,1 - Generative
267,5 - Program Verification,29 - Program Verification,Dafny-Synth_5,\gen{Intent\&SignatureCorresponding-Provable-AnnotatedCode-Generation},#NAME?,,,,,,,,,1,,,,1,,,,01 - General-Code Generation,1 - Generative
263,5 - Program Verification,29 - Program Verification,Dafny-Synth_2,\gen{Intent\&TestsCorresponding-AnnotatedCode-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
262,5 - Program Verification,29 - Program Verification,Dafny-Synth_1,\gen{IntentCorresponding-AnnotatedCode-Generation},#NAME?,,,,,,,,,,,,,,,,,01 - General-Code Generation,1 - Generative
